Title,Description
Evolution of a cat-cher,"1 print : lithograph. | Print shows a five panel illustration beginning on the left with a cat, sitting on its hind legs, playing with a ball of yarn, which evolves into a baseball catcher standing upright."
Elwyn R. Cates Collection,"Corporal, Army, World War, 1939-1945 - Pacific Theater; Philippines."
Cat,1 print : col. etching ; 35.3 x 25.3 cm.
[Cat],"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2."
[Cat],"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4."
[Cats],1 negative : glass ; 4 x 5 in. or smaller
[Cats],1 negative : glass ; 4 x 5 in. or smaller
Raymond Louis Cates Collection,"E-6, Marine Corps, Cold War."
Robert Vernon Cates Collection,"Petty Officer First Class, Navy, World War, 1939-1945 - Okinawa Island (Ryukyu Islands); Pacific Theater."
The cat and the cherub,"1 print on white wove tissue paper : etching, color ; 17.5 x 12.5 cm (block), 24.1 x 16.7 cm. (sheet) | Print shows a Chinese boy holding a cat."
7 Random Cat Facts,"If you’re like me, then you can never get enough cats! Here are seven random facts about our furry feline friends, many of which we’ve brought to you from our historical newspaper archive, Chronicling America. 1. Cats at Sea! Friend or Foe? While cats were once valuable to sailors as “mousers” (because they caught mice) …"
[Two domestic cats fighting],1 print : lithograph ; 23.2 x 31.5 cm (sheet)
Sketches from cat life,1 drawing : pen and ink.
Splat the cat gets a job!,"Splat the Cat gets a job as a newspaper cat, but getting up early, keeping track of all the papers, and delivering them to all the houses is not easy."
"""Cat"" Hat",No Description
"Thomas County Cat (Colby, Kan.) 1885-1891",
Clicker training for cats,No Description
"""The black cat""","1 print (poster) : color. | Motion picture poster for ""The black cat"" shows a man carrying an unconscious woman at the head and hand of Bela Lugosi comes down from above and the head of Boris Karloff appear at the bottom left; background shows the image of a black cat with rays coming from its yellow eyes."
[Black Cat on Chair and Table],5 photographs : nitrate negative ; film width 35mm (roll format) | Photograph (5 frames) shows a black cat laying on chair and table.
[College girl walking cats],1 print : photomechanical ; sheet 92 x 122 cm. or less.
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format)
"Schermerhorn cat, portrait photograph",1 negative : nitrate ; 4 x 5 in. or smaller.
[Dressing up the cat],1 drawing : wash.
"Cat Island, July 1935",1 photographic print.
"Cat Island, July 1935",1 photographic print.
Collection of cats,"1 print : lithograph. | Print shows a cat with a mouse in its mouth and an arched back, standing on top of a stone and swatting at a puppy."
